2025-09-18 21:50 | ARCHITEKT | DOCS | README.md + WHITEPAPER.md erstellt | Status: LOCAL
2025-09-18 21:52 | ARCHITEKT | DOCS | README.md + WHITEPAPER.md erstellt | Status: LOCAL
2025-09-18 21:59 | ARCHITEKT | DOCS | README.md Statusbaum aktualisiert | Status: LOCAL | basiert auf Commit 4fd752b
2025-09-18 22:06 | ARCHITEKT | GIT | Upstream für main gesetzt + Push ausgeführt | Status: PUSHED | SHA: 151425e
2025-09-18 22:17 | ARCHITEKT | CHORE | Hilfsskripte nach scripts/admin/ verschoben | Status: LOCAL | Basis-SHA: 545e3c9
2025-09-18 22:17 | ARCHITEKT | GIT | Hilfsskripte-Aufräumen gepusht | Status: PUSHED | SHA: 01e3e55
2025-09-18 22:19 | ARCHITEKT | BOILERPLATE | InfernoToken.sol + Teststub angelegt | Status: LOCAL | Basis-SHA: 102eb3d
2025-09-18 22:23 | ARCHITEKT | GIT | Boilerplate InfernoToken.sol + Teststub gepusht | Status: PUSHED | SHA: 14e141c
2025-09-18 22:46 | ARCHITEKT | CONTRACT | InfernoToken.sol implementiert | Status: LOCAL | Basis-SHA: 71c58fe
2025-09-18 22:46 | ARCHITEKT | GIT | InfernoToken.sol gepusht | Status: PUSHED | SHA: eaddf0c
2025-09-18 22:56 | ARCHITEKT | TEST | InfernoToken.test.js implementiert | Status: LOCAL | Basis-SHA: 225ca5b
2025-09-18 22:56 | ARCHITEKT | GIT | InfernoToken.test.js gepusht | Status: PUSHED | SHA: 58af42e
2025-09-18 22:58 | ARCHITEKT | SETUP | Hardhat-Projekt eingerichtet | Status: LOCAL | Basis-SHA: 580d1fe
2025-09-18 23:14 | ARCHITEKT | GIT | README-Update gepusht | Status: PUSHED | SHA: 0f79361
2025-09-18 23:18 | ARCHITEKT | TESTS | InfernoToken.test.js neu geschrieben mit OZ v5 Custom Errors | Status: LOCAL | basiert auf Commit 82fb2ff
2025-09-18 23:18 | ARCHITEKT | GIT | README-Update gepusht | Status: PUSHED | SHA: 71f769d
2025-09-18 23:24 | ARCHITEKT | TESTS | InfernoToken.test.js überschrieben (Custom Errors) | Status: LOCAL | basiert auf Commit 92db40e
2025-09-18 23:24 | ARCHITEKT | GIT | README-Update gepusht | Status: PUSHED | SHA: 447b9bf
2025-09-18 23:34 | ARCHITEKT | DOCS | README Status korrigiert (grün=erledigt, blau=offen) | Status: LOCAL | basiert auf Commit e58afcb
2025-09-18 23:34 | ARCHITEKT | GIT | README-Update gepusht | Status: PUSHED | SHA: ca926c5
2025-09-19 01:07 | ARCHITEKT | PRESALE | ReentrantRefundAttacker.sol hinzugefügt | Status: LOCAL | Base-SHA: 84b0078
2025-09-19 01:07 | ARCHITEKT | PRESALE | Presale contract + initial tests staged for push | Status: LOCAL | Base-SHA: 84b0078
2025-09-19 01:08 | ARCHITEKT | GIT | Presale artifacts pushed | Status: PUSHED | SHA: 4681920
